person_name,section_title,start_page
"김민상","보통약관 - 제1절 일반조항","78"
"김민상","보통약관 - 제2절 보통약관의 보장","99"
"김민상","특별약관 - 제1장 의무부가관련 특별약관","104"
"김민상","특별약관 - 제2장 상해 관련 특별약관","124"
"김민상","특별약관 - 제3장 질병 관련 특별약관","353"
"김민상","특별약관 - 제4장 비용손해 관련 특별약관","602"
"김민상","특별약관 - 제5장 배상책임 관련 특별약관","614"
"김민상","특별약관 - 제6장 간병인지원 입원일당 관련 독립특별약관","626"
"김민상","특별약관 - 제7장 제도성 특별약관","669"
"김민상","별표","688"
"김민상","약관에서 인용된 법·규정","805"
